article,category,summary
Prove Symbolic Regression is NP-hard by Symbol Graph,Computational Complexity,symbolic regression sr task discovering symbolic expression fits given data set space mathematical expressions despite abundance research surrounding sr problem theres scarcity works confirm its nphard nature therefore paper introduces concept symbol graph comprehensive representation entire mathematical expression space effectively illustrating nphard characteristics sr problem leveraging symbol graph we establish connection between sr problem task identifying optimally fitted degreeconstrained steiner arborescence dcsap complexity dcsap which proven be nphard directly implies nphard nature sr problem
"Improved Algorithms for Allen's Interval Algebra by Dynamic Programming
  with Sublinear Partitioning",Computational Complexity,allens interval algebra one most wellknown calculi qualitative temporal reasoning numerous applications artificial intelligence recently there has been surge improvements finegrained complexity nphard reasoning tasks improving running time naive onn even faster algorithms unit intervals bounded number overlapping intervals ocdot notation suppresses polynomial factors despite these improvements best known lower bound still only under exponentialtime hypothesis major improvements either direction seemingly require fundamental advances computational complexity paper we propose novel framework solving nphard qualitative reasoning problems which we refer dynamic programming sublinear partitioning using technique we obtain major improvement ofraccnlognn allens interval algebra demonstrate technique applicable more domains we apply it problem qualitative spatial reasoning cardinal direction point algebra solve it ofraccnlognn time hence not only do we significantly advance stateoftheart nphard qualitative reasoning problems but obtain novel algorithmic technique likely applicable many problems where time algorithms are unlikely
On SAT representations of XOR constraints,Computational Complexity,we study representation systems linear equations over twoelement field aka xor parityconstraints via conjunctive normal forms boolean clausesets first we consider problem finding arcconsistent representation ac meaning unitclause propagation will fix all forced assignments all possible instantiations xorvariables our main negative result there no polysize acrepresentation general positive side we show finding such acrepresentation fixedparameter tractable fpt number equations then we turn stronger criterion representation namely propagation completeness pc while ac only covers variables now all variables variables plus auxiliary variables are considered pc we show standard translation actually yields pc representation one equation but fails so two equations fact arbitrarily badly we show more intelligent translation we can also easily compute translation pc two equations we conjecture computing representation pc fpt number equations
"Optimization hardness as transient chaos in an analog approach to
  constraint satisfaction",Computational Complexity,boolean satisfiability ksat one most studied optimization problems efficient polynomialtime solution ksat kgeq implies efficient solutions large number hard optimization problems here we propose mapping ksat into deterministic continuoustime dynamical system unique correspondence between its attractors ksat solution clusters we show beyond constraint density threshold analog trajectories become transiently chaotic boundaries between basins attraction solution clusters become fractal signaling appearance optimization hardness analytical arguments simulations indicate system always finds solutions satisfiable formulae even frozen regimes random sat locked occupation problems considered among hardest algorithmic benchmarks property partly due systems hyperbolic character system finds solutions polynomial continuoustime however expense exponential fluctuations its energy function
Local Backbones,Computational Complexity,backbone propositional cnf formula variable whose truth value same every truth assignment satisfies formula notion backbones cnf formulas has been studied various contexts paper we introduce local variants backbones study computational complexity detecting them particular we consider kbackbones which are backbones subformulas consisting most clauses iterative kbackbones which are backbones result after repeated instantiations kbackbones we determine parameterized complexity deciding whether variable kbackbone iterative kbackbone various restricted formula classes including horn definite horn krom we also present some first empirical results regarding backbones cnfsatisfiability sat empirical results we obtain show large fraction backbones structured sat instances are local contrast random instances which appear have few local backbones
Hypertableau Reasoning for Description Logics,Logic in Computer Science,we present novel reasoning calculus description logic shoiqa knowledge representation formalism applications areas such semantic web unnecessary nondeterminism construction large models are two primary sources inefficiency tableaubased reasoning calculi used stateoftheart reasoners order reduce nondeterminism we base our calculus hypertableau hyperresolution calculi which we extend blocking condition ensure termination order reduce size constructed models we introduce anywhere pairwise blocking we also present improved nominal introduction rule ensures termination presence nominals inverse roles number restrictionsa combination dl constructs has proven notoriously difficult handle our implementation shows significant performance improvements over stateoftheart reasoners several wellknown ontologies
A syllogistic system for propositions with intermediate quantifiers,Logic in Computer Science,paper describes formalism subsumes petersons intermediate quantifier syllogistic system extends ideas van eijck aristotles logic syllogisms are expressed concise form making use extending monotonicity calculus contradictory contrary relationships are added so deduction can derive propositions expressing form negation
Logical Foundations of RDF(S) with Datatypes,Logic in Computer Science,resource description framework rdf semantic web standard provides data language simply called rdf well lightweight ontology language called rdf schema we investigate embeddings rdf logic show how standard logic programming description logic technology can be used reasoning rdf we subsequently consider extensions rdf datatype support considering entailment defined rdf semantics specification entailment semantic weakening entailment introduced ter horst we use embeddings properties logics establish novel upper bounds complexity deciding entailment we subsequently establish two novel lower bounds establishing rdfs entailment ptimecomplete simpled entailment conphard when considering arbitrary datatypes both size entailing graph results indicate rdfs may not be lightweight one may expect
"The role of semantics in mining frequent patterns from knowledge bases
  in description logics with rules",Logic in Computer Science,we propose new method mining frequent patterns language combines both semantic web ontologies rules particular we consider setting using language combines description logics dlsafe rules setting important practical application data mining semantic web we focus relation semantics representation formalism task frequent pattern discovery core our method we propose algorithm exploits semantics combined knowledge base we have developed proofofconcept data mining implementation using we have empirically shown using combined knowledge base perform semantic tests can make data mining faster pruning useless candidate patterns before their evaluation we have also shown quality set patterns produced may be improved patterns are more compact there are fewer patterns we conclude exploiting semantics chosen representation formalism key design application ontorelational frequent pattern discovery methods note appear theory practice logic programming tplp
Simple Strategies in Multi-Objective MDPs (Technical Report),Logic in Computer Science,we consider verification multiple expected reward objectives once markov decision processes mdps enables tradeoff analysis among multiple objectives obtaining pareto front we focus strategies are easy employ implement strategies are pure no randomization have bounded memory we show checking whether point achievable pure stationary strategy npcomplete even two objectives we provide milp encoding solve corresponding problem bounded memory case can be reduced stationary one product construction experimental results using storm gurobi show feasibility our algorithms
"Inducing Stackelberg Equilibrium through Spatio-Temporal Sequential
  Decision-Making in Multi-Agent Reinforcement Learning",Multiagent Systems,multiagent reinforcement learning marl selfinterested agents attempt establish equilibrium achieve coordination depending game structure however existing marl approaches are mostly bound simultaneous actions all agents markov game mg framework few works consider formation equilibrium strategies via asynchronous action coordination view advantages stackelberg equilibrium se over nash equilibrium we construct spatiotemporal sequential decisionmaking structure derived mg propose nlevel policy model based conditional hypernetwork shared all agents approach allows asymmetric training symmetric execution each agent responding optimally conditioned decisions made superior agents agents can learn heterogeneous se policies while still maintaining parameter sharing which leads reduced cost learning storage enhanced scalability number agents increases experiments demonstrate our method effectively converges se policies repeated matrix game scenarios performs admirably immensely complex settings including cooperative tasks mixed tasks
AGENT: An Adaptive Grouping Entrapping Method of Flocking Systems,Multiagent Systems,study proposes distributed algorithm makes agents adaptive grouping entrap multiple targets via automatic decision making smooth flocking welldistributed entrapping agents make their own decisions about which targets surround based environmental information improved artificial potential field method proposed enable agents smoothly naturally change formation adapt environment proposed strategies guarantee coordination swarm agents develops phenomenon multiple targets entrapping swarm level we validate performance proposed method using simulation experiments design indicators analysis these simulation physical experiments
Agent Based Approaches to Engineering Autonomous Space Software,Multiagent Systems,current approaches engineering space software such satellite control systems are based around development feedback controllers using packages such matlabs simulink toolbox these provide powerful tools engineering real time systems adapt changes environment but are limited when controller itself needs be adapted we are investigating ways which ideas temporal logics agent programming can be integrated use such control systems provide more powerful layer autonomous decision making paper will discuss our initial approaches engineering such systems
"Ball Trajectory Inference from Multi-Agent Sports Contexts Using Set
  Transformer and Hierarchical Bi-LSTM",Multiagent Systems,artificial intelligence spreads out numerous fields application ai sports analytics also spotlight however one major challenges difficulty automated acquisition continuous movement data during sports matches particular it conundrum reliably track tiny ball wide soccer pitch obstacles such occlusion imitations tackling problem paper proposes inference framework ball trajectory player trajectories costefficient alternative ball tracking we combine set transformers get permutationinvariant equivariant representations multiagent contexts hierarchical architecture intermediately predicts player ball possession support final trajectory inference also we introduce reality loss term postprocessing secure estimated trajectories be physically realistic experimental results show our model provides natural accurate trajectories well admissible player ball possession same time lastly we suggest several practical applications our framework including missing trajectory imputation semiautomated pass annotation automated zoomin match broadcasting calculating possessionwise running performance metrics
"Modeling Sensorimotor Coordination as Multi-Agent Reinforcement Learning
  with Differentiable Communication",Multiagent Systems,multiagent reinforcement learning has shown promise variety cooperative tasks consequence recent developments differentiable interagent communication however most architectures are limited pools homogeneous agents limiting their applicability here we propose modular framework learning complex tasks which traditional monolithic agent framed collection cooperating heterogeneous agents we apply approach model sensorimotor coordination neocortex multiagent reinforcement learning problem our results demonstrate proofofconcept proposed architecture open new avenues learning complex tasks understanding functional localization brain future intelligent systems
"HCGR: Hyperbolic Contrastive Graph Representation Learning for
  Session-based Recommendation",Information Retrieval,sessionbased recommendation sbr learns users preferences capturing shortterm sequential patterns evolution user behaviors among studies sbr field graphbased approaches are relatively powerful kind way which generally extract item information message aggregation under euclidean space however such methods cant effectively extract hierarchical information contained among consecutive items session which critical represent users preferences paper we present hyperbolic contrastive graph recommender hcgr principled sessionbased recommendation framework involving lorentz hyperbolic space adequately capture coherence hierarchical representations items within framework we design novel adaptive hyperbolic attention computation aggregate graph message each users preference sessionbased behavior sequence addition contrastive learning leveraged optimize item representation considering geodesic distance between positive negative samples hyperbolic space extensive experiments four realworld datasets demonstrate hcgr consistently outperforms stateoftheart baselines terms hitrate ndcg mrr
Efficient AUC Optimization for Information Ranking Applications,Information Retrieval,adequate evaluation information retrieval system estimate future performance crucial task area under roc curve auc widely used evaluate generalization retrieval system however objective function optimized many retrieval systems error rate not auc value paper provides efficient effective nonlinear approach optimize auc using additive regression trees special emphasis use multiclass auc mauc because multiple relevance levels are widely used many ranking applications compared conventional linear approach performance nonlinear approach comparable binaryrelevance benchmark datasets better multirelevance benchmark datasets
"Zero-Shot Cross-Lingual Reranking with Large Language Models for
  Low-Resource Languages",Information Retrieval,large language models llms have shown impressive zeroshot capabilities various document reranking tasks despite their successful implementations there still gap existing literature their effectiveness lowresource languages address gap we investigate how llms function rerankers crosslingual information retrieval clir systems african languages our implementation covers english four african languages hausa somali swahili yoruba we examine crosslingual reranking queries english passages african languages additionally we analyze compare effectiveness monolingual reranking using both query document translations we also evaluate effectiveness llms when leveraging their own generated translations get grasp effectiveness multiple llms our study focuses proprietary models rankgpt rankgpt along opensource model rankzephyr while reranking remains most effective english our results reveal crosslingual reranking may be competitive reranking african languages depending multilingual capability llm
"Évaluation des capacités de réponse de larges modèles de langage
  (LLM) pour des questions d'historiens",Information Retrieval,large language models llms like chatgpt bard have revolutionized information retrieval captivated audience their ability generate custom responses record time regardless topic article we assess capabilities various llms producing reliable comprehensive sufficiently relevant responses about historical facts french achieve we constructed testbed comprising numerous historyrelated questions varying types themes levels difficulty our evaluation responses ten selected llms reveals numerous shortcomings both substance form beyond overall insufficient accuracy rate we highlight uneven treatment french language well issues related verbosity inconsistency responses provided llms
"Leaf-FM: A Learnable Feature Generation Factorization Machine for
  Click-Through Rate Prediction",Information Retrieval,clickthrough rate ctr prediction plays important role personalized advertising recommender systems though many models have been proposed such fm ffm deepfm recent years feature engineering still very important way improve model performance many applications because using raw features can rarely lead optimal results example continuous features are usually transformed power forms adding new feature allow it easily form nonlinear functions feature however kind feature engineering heavily relies peoples experience it both time consuming labor consuming other side concise ctr model both fast online serving speed good model performance critical many real life applications paper we propose leaffm model based fm generate new features original feature embedding learning transformation functions automatically we also design three concrete leaffm models according different strategies combing original generated features extensive experiments are conducted three realworld datasets results show leaffm model outperforms standard fms large margin compared ffms leaffm can achieve significantly better performance much less parameters avazu malware dataset add version leaffm achieves comparable performance some deep learning based models such dnn autoint improved fm model leaffm has same computation complexity fm online serving phase it means leaffm applicable many industry applications because its better performance high computation efficiency
"Trajectory Planning for Autonomous Vehicles Using Hierarchical
  Reinforcement Learning",Robotics,planning safe trajectories under uncertain dynamic conditions makes autonomous driving problem significantly complex current samplingbased methods such rapidly exploring random trees rrts are not ideal problem because high computational cost supervised learning methods such imitation learning lack generalization safety guarantees address these problems order ensure robust framework we propose hierarchical reinforcement learning hrl structure combined proportionalintegralderivative pid controller trajectory planning hrl helps divide task autonomous vehicle driving into subgoals supports network learn policies both highlevel options lowlevel trajectory planner choices introduction subgoals decreases convergence time enables policies learned be reused other scenarios addition proposed planner made robust guaranteeing smooth trajectories handling noisy perception system egocar pid controller used tracking waypoints which ensures smooth trajectories reduces jerk problem incomplete observations handled using longshorttermmemory lstm layer network results highfidelity carla simulator indicate proposed method reduces convergence time generates smoother trajectories able handle dynamic surroundings noisy observations
"Reinforcement Learning in Robotic Motion Planning by Combined
  Experience-based Planning and Self-Imitation Learning",Robotics,highquality representative data essential both imitation learning il reinforcement learning rlbased motion planning tasks real robots it challenging collect enough qualified data either demonstrations il experiences rl due safety considerations environments obstacles we target challenge proposing selfimitation learning planning plus silp algorithm which efficiently embeds experiencebased planning into learning architecture mitigate datacollection problem planner generates demonstrations based successfully visited states current rl policy policy improves learning these demonstrations way we relieve demand human expert operators collect demonstrations required il improve rl performance well various experimental results show silp achieves better training efficiency higher more stable success rate complex motion planning tasks compared several other methods extensive tests physical robots illustrate effectiveness silp physical setting
"Online Damage Recovery for Physical Robots with Hierarchical
  Quality-Diversity",Robotics,realworld environments robots need be resilient damages robust unforeseen scenarios qualitydiversity qd algorithms have been successfully used make robots adapt damages seconds leveraging diverse set learned skills high diversity skills increases chances robot succeed overcoming new situations since there are more potential alternatives solve new taskhowever finding storing large behavioural diversity multiple skills often leads increase computational complexity furthermore robot planning large skill space additional challenge arises increased number skills hierarchical structures can help reducing search storage complexity breaking down skills into primitive skills paper we introduce hierarchical trial error algorithm which uses hierarchical behavioural repertoire learn diverse skills leverages them make robot adapt quickly physical world we show hierarchical decomposition skills enables robot learn more complex behaviours while keeping learning repertoire tractable experiments hexapod robot show our method solves maze navigation tasks less actions simulation less actions physical world most challenging scenarios than best baselines while having less complete failures
"Graph Convolution-Based Deep Reinforcement Learning for Multi-Agent
  Decision-Making in Mixed Traffic Environments",Robotics,efficient reliable multiagent decisionmaking system highly demanded safe efficient operation connected autonomous vehicles intelligent transportation systems current researches mainly focus deep reinforcement learning drl methods however utilizing drl methods interactive traffic scenarios hard represent mutual effects between different vehicles model dynamic traffic environments due lack interactive information representation environments which results low accuracy cooperative decisions generation tackle these difficulties research proposes framework enable different graph reinforcement learning grl methods decisionmaking compares their performance interactive driving scenarios grl methods combinate graph neural network gnn drl achieve better decisions generation interactive scenarios autonomous vehicles where features interactive scenarios are extracted gnn cooperative behaviors are generated drl framework several grl approaches are summarized implemented proposed framework evaluate performance proposed grl methods interactive driving scenarios highway two ramps constructed simulated experiment sumo platform carried out evaluate performance different grl approaches finally results are analyzed multiple perspectives dimensions compare characteristic different grl approaches intelligent transportation scenarios results show implementation gnn can well represents interaction between vehicles combination gnn drl able improve performance generation lanechange behaviors source code our work can be found httpsgithubcomjacklinkktorchgrl
Reinforcement Learning with Time-dependent Goals for Robotic Musicians,Robotics,reinforcement learning promising method accomplish robotic control tasks task playing musical instruments however largely unexplored because it involves challenge achieving sequential goals melodies have temporal dimension paper we address robotic musicianship introducing temporal extension goalconditioned reinforcement learning timedependent goals we demonstrate these can be used train robotic musician play theremin instrument we train robotic agent simulation transfer acquired policy realworld robotic thereminist supplemental video httpsyoutubejvcmpzdqn
Cardinality Estimation in DBMS: A Comprehensive Benchmark Evaluation,Databases,cardinality estimation cardest plays significant role generating highquality query plans query optimizer dbms last decade increasing number advanced cardest methods especially mlbased have been proposed outstanding estimation accuracy inference latency however there exists no study systematically evaluates quality these methods answer fundamental problem what extent can these methods improve performance query optimizer realworld settings which ultimate goal cardest method paper we comprehensively systematically compare effectiveness cardest methods real dbms we establish new benchmark cardest which contains new complex realworld dataset stats diverse query workload statsceb we integrate multiple most representative cardest methods into opensource database system postgresql comprehensively evaluate their true effectiveness improving query plan quality other important aspects affecting their applicability ranging inference latency model size training time update efficiency accuracy we obtain number key findings cardest methods under different data query settings furthermore we find widely used estimation accuracy metricqerror cannot distinguish importance different subplan queries during query optimization thus cannot truly reflect query plan quality generated cardest methods therefore we propose new metric perror evaluate performance cardest methods which overcomes limitation qerror able reflect overall endtoend performance cardest methods we have made all benchmark data evaluation code publicly available httpsgithubcomnathanielhanendtoendcardestbenchmark
A General Early-Stopping Module for Crowdsourced Ranking,Databases,crowdsourcing can be used determine total order object set eg top nba players based crowd opinions ranking problem often decomposed into set microtasks eg pairwise comparisons these microtasks are passed large number workers their answers are aggregated infer ranking number microtasks depends budget allocated problem intuitively higher number microtask answers more accurate ranking becomes however it often hard decide budget required accurate ranking we study how ranking process can be terminated early yet achieve highquality ranking great savings budget we use statistical tools estimate quality ranking result any stage crowdsourcing process terminate process soon desired quality achieved our proposed earlystopping module can be seamlessly integrated most existing inference algorithms task assignment methods we conduct extensive experiments show our earlystopping module better than other existing general stopping criteria we also implement prototype system demonstrate usability effectiveness our approach practice
"A Framework for Inferring Causality from Multi-Relational Observational
  Data using Conditional Independence",Databases,study causality causal inference how much given treatment causally affects given outcome population goes way beyond correlation association analysis variables critical making sound data driven decisions policies multitude applications gold standard causal inference performing controlled experiments which often not possible due logistical ethical reasons alternative inferring causality observational data based neymanrubin potential outcome model has been extensively used statistics economics social sciences over several decades paper we present formal framework sound causal analysis observational datasets are given multiple relations where population under study obtained joining these base relations we study crucial condition inferring causality observational data called strong ignorability assumption treatment outcome variables should be independent joined relation given observed covariates using known conditional independences hold base relations we also discuss how structure conditional independences base relations given graphical models help infer new conditional independences joined relation proposed framework combines concepts databases statistics graphical models aims initiate new research directions spanning these fields facilitate powerful datadriven decisions todays big data world
Mining for trees in a graph is NP-complete,Databases,mining trees graph shown be npcomplete
TaSPM: Targeted Sequential Pattern Mining,Databases,sequential pattern mining spm important technique pattern mining which has many applications reality although many efficient sequential pattern mining algorithms have been proposed there are few studies can focus target sequences targeted querying sequential patterns can not only reduce number sequences generated spm but also improve efficiency users performing pattern analysis current algorithms available targeted sequence querying are based specific scenarios cannot be generalized other applications paper we formulate problem targeted sequential pattern mining propose generic framework namely taspm based fast cmspam algorithm whats more improve efficiency taspm largescale datasets multipleitemsbased sequence datasets we propose several pruning strategies reduce meaningless operations mining processes totally four pruning strategies are designed taspm hence it can terminate unnecessary pattern extensions quickly achieve better performance finally we conduct extensive experiments different datasets compare existing spm algorithms taspm experiments show novel targeted mining algorithm taspm can achieve faster running time less memory consumption
"REFRESH: Responsible and Efficient Feature Reselection Guided by SHAP
  Values",Machine Learning,feature selection crucial step building machine learning models process often achieved accuracy objective can be cumbersome computationally expensive largescale datasets several additional model performance characteristics such fairness robustness are importance model development regulations are driving need more trustworthy models deployed models need be corrected model characteristics associated responsible artificial intelligence when feature selection done respect one model performance characteristic eg accuracy feature selection secondary model performance characteristics eg fairness robustness objectives would require going through computationally expensive selection process scratch paper we introduce problem feature emphreselection so features can be selected respect secondary model performance characteristics efficiently even after feature selection process has been done respect primary objective address problem we propose refresh method reselect features so additional constraints are desirable towards model performance can be achieved without having train several new models refreshs underlying algorithm novel technique using shap values correlation analysis can approximate predictions model without having train these models empirical evaluations three datasets including largescale loan defaulting dataset show refresh can help find alternate models better model characteristics efficiently we also discuss need reselection refresh based regulation desiderata
"GANTL: Towards Practical and Real-Time Topology Optimization with
  Conditional GANs and Transfer Learning",Machine Learning,many machine learning methods have been recently developed circumvent high computational cost gradientbased topology optimization these methods typically require extensive costly datasets training have difficult time generalizing unseen boundary loading conditions new domains do not take into consideration topological constraints predictions which produces predictions inconsistent topologies we present deep learning method based generative adversarial networks generative design exploration proposed method combines generative power conditional gans knowledge transfer capabilities transfer learning methods predict optimal topologies unseen boundary conditions we also show knowledge transfer capabilities embedded design proposed algorithm significantly reduces size training dataset compared traditional deep learning neural adversarial networks moreover we formulate topological loss function based bottleneck distance obtained persistent diagram structures demonstrate significant improvement topological connectivity predicted structures we use numerous examples explore efficiency accuracy proposed approach both seen unseen boundary conditions
Least squares binary quantization of neural networks,Machine Learning,quantizing weights activations deep neural networks results significant improvement inference efficiency cost lower accuracy source accuracy gap between full precision quantized models quantization error work we focus binary quantization which values are mapped we provide unified framework analyze different scaling strategies inspired paretooptimality bits versus bit quantization we introduce novel bits quantization provably least squares error our quantization algorithms can be implemented efficiently hardware using bitwise operations we present proofs show our proposed methods are optimal also provide empirical error analysis we conduct experiments imagenet dataset show reduced accuracy gap when using proposed least squares quantization algorithms
